id,name,address,region,district,latitude,longitude,fuel_types,services,payments
1,Aeroporti - 1,"Tbilisi, Kakheti highway, left side, N44762 nearbody of military part",Tbilisi,Tbilisi,41.68782,44.89672,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Service Block, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
2,Aeroporti -2,"Tbilisi, near trade-wholesale base",Tbilisi,Tbilisi,41.69277,44.96093,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Charger, WC","Cash, Bank card, Coupon, Fuel card, Fast payment machine"
3,Aligatori,Tbilisi Isani-Samgori / next to the Ritual Palace,Tbilisi,Tbilisi,41.68432,44.82679,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
4,Astra,"Tbilisi, Davit Agmashenebeli alley, N111",Tbilisi,Tbilisi,41.78361,44.77005,CNG,WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
5,Agmashenebeli,"Tbilisi, Davit Agmashenebeli alley, N31",Tbilisi,Tbilisi,41.76756,44.7694,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card"
6,Beliashvili 1,"Tbilisi, Akaki Belishvili street N183",Tbilisi,Tbilisi,41.78385,44.78194,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Car Wash, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
7,Botanika,"Tbilisi, Davit Agmashenebeli alley, N97",Tbilisi,Tbilisi,41.78077,44.76965,"Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Charger, WC, Locker","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
8,Gelovani 1,Tbilisi Vake-Saburtalo / Gelovani Village opposite,Tbilisi,Tbilisi,41.75276,44.76989,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Locker, Car Wash, Car Wash","Cash, Bank card, Coupon, Fuel card, Energy card"
9,Gelovani 2,"Tbilisi, Marshall Gelovani Avenue N70",Tbilisi,Tbilisi,41.76086,44.7682,CNG,"Way-Mart, Service Center, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
10,Gulia,"Tbilisi, g. Gulia Square, near the Ministry of Internal Affairs",Tbilisi,Tbilisi,41.67628,44.82961,"Nano Premium, Nano Super, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, Car Wash, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
11,Guramishvili 1,Tbilisi Gldani-Nadzaladevi / Guramishvili Ave. 84,Tbilisi,Tbilisi,41.78143,44.79722,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",WC,"Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
12,Guramishvili 2,Tbilisi Gldani-Nadzaladevi / Guramishvili Ave. N15(01.12.09.021/114),Tbilisi,Tbilisi,41.75526,44.78885,"CNG, Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Way-Mart, WC","Cash, Bank card, Coupon, Fuel card, Energy card, Fast payment machine"
13,Didube,"Tbilisi, left bank cosmonauts N61",Tbilisi,Tbilisi,41.73801,44.77286,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular","Service Block, WC","Cash, Bank card, Coupon, Fuel card, Energy card"
14,Varketili 1,"Tbilisi, Javakheti Street ",Tbilisi,Tbilisi,41.68549,44.87007,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card"
15,Varketili 2,"Tbilisi, between Varketili 2 and Vazisubani residential area",Tbilisi,Tbilisi,41.69883,44.86979,CNG,WC,"Cash, Bank card, Coupon, Fuel card, Energy card"
16,Vakhushti,"Tbilisi, Giorgi Saakadze descent N13",Tbilisi,Tbilisi,41.72532,44.77943,"Nano Premium, Euro 5 Diesel, Nano Euro 5 Diesel, Nano Euro Regular",Way-Mart,"Cash, Bank card, Coupon, Fuel card"
