id,company_code,address,latitude,longitude,working_hours,phone,hotline,services,direction_link
1,202161098,Chavchavadze Avenue #74b.,41.71098457,44.75365866,24/7,+995322915315,*1000,Main,https://maps.app.goo.gl/woyDiF39jU6S89jM8
12,205124346,Davit Agmashenebeli alley N145,41.7863602,44.7686568,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/QaATNftXs7bg7D9f7
13,205124346,"Kakheti highway to ""Tsekunki"" University. I'm following the base.",41.6926054,44.9671455,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/Azt8CjS3JPW1SsrCA
14,205124346,"Cosmonauts beach N9, near Mushtaidi",41.7206414,44.7858626,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/1xV8SDLWKprMqWuk7
15,205124346,"Gori district, Tiniskhid village",42.0159252,44.064069,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/EevvwKnJU2VVSwC28
16,205124346,Tamarashvili N1,41.6433644,42.9824952,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/FqAHWY1S7piDubzh7
17,205124346,Shota Rustaveli N167,42.5092296,41.85999,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/6G8tBp3VFBjqgZ396
18,205124346,Apsaros Highway N6,41.5856487,41.5908052,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/fAB9Dr1mDYYDYxqq6
19,205124346,Ilia Chavchavadze N43,41.9437095,45.8150244,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/6jWkuSYgByM8RSbm8
20,205124346,"Kazbegi district, Gudauri township",42.4625,44.48131,24/7,+995322557557,*1000,"Supermarket, Hot-Dog Campaign",https://maps.app.goo.gl/rJfT4ezWNb1T1Cc19
